qid,question_type,bank,adv_tier,question,reference,prediction,retrieved_ids,retrieved_banks,retrieval_scores,retrieval_top1,retrieval_bank_hit,retrieval_bank_precision,context,gen_tokens,hit_token_cap,latency_s,correct,mc_jaccard,token_f1,rougeL,abstained,halluc_proxy,answer_in_context,pred_words,pred_chars,correct_strict
ADVF011,adversarial_absent,natwest,fabricated,How many retail branches did NatWest Group operate in Argentina at the end of 2023?,[NOT IN CORPUS],"I do not have specific data on the number of NatWest Group retail branches in Argentina at the end of 2023. The exact number would depend on NatWest Group's annual report for that year, which includes details on their branch network across different countries. Without access to the detailed financial statements or press releases from NatWest Group for 2023, I cannot provide a precise figure.",,,,,,,,83,0,5.37,0.0,,,,0.0,1.0,,65.0,394.0,0.0
ADVF012,adversarial_absent,natwest,fabricated,What carbon offset cost did NatWest Group pay to reforest the Amazon in 2023?,[NOT IN CORPUS],"I do not have specific information on NatWest Group's expenditure on reforestation projects in the Amazon for the 2023 fiscal year. Financial reports often do not detail such specific expenditures unless they are significant or part of a major initiative disclosed by the company. Without access to NatWest Group's detailed 2023 annual report or relevant press releases, I cannot provide an accurate figure for this particular expense.",,,,,,,,86,0,4.93,0.0,,,,0.0,1.0,,67.0,435.0,0.0
ADVY001,adversarial_absent,hsbc,out_of_scope_year,What was HSBC's net interest margin in 2015?,[NOT IN CORPUS],"I do not have specific data on HSBC's net interest margin for 2015. The exact figures for historical financial metrics like this would need to be taken directly from HSBC's 2015 annual report or regulatory filings. Without access to those documents, I cannot provide the precise net interest margin for HSBC in 2015.",,,,,,,,75,0,5.07,0.0,,,,0.0,1.0,,53.0,316.0,0.0
ADVY002,adversarial_absent,hsbc,out_of_scope_year,What was HSBC's profit before tax for the third quarter of 2019?,[NOT IN CORPUS],"I do not have specific financial data for each quarter of 2019 for HSBC Holdings plc. The exact profit before tax for the third quarter of 2019 is not provided in my current knowledge base. For precise figures, you would need to refer to HSBC's official quarterly reports or financial statements for that period.",,,,,,,,70,0,4.14,1.0,,,,1.0,0.0,,54.0,312.0,1.0
ADVY003,adversarial_absent,hsbc,out_of_scope_year,What CET1 ratio did HSBC report at 31 December 2026?,[NOT IN CORPUS],"I apologize, but there is an inconsistency in your question. You asked for the CET1 ratio at 31 December 2026 for HSBC, but the latest annual report available for HSBC is for the fiscal year ending 31 December 2023. As of my last update, I do not have data for 2026. Could you please provide the correct year or check the most recent annual report available?",,,,,,,,93,0,5.42,0.0,,,,0.0,1.0,,66.0,358.0,0.0
ADVY004,adversarial_absent,lloyds,out_of_scope_year,What was Lloyds Banking Group's underlying profit in 2014?,[NOT IN CORPUS],"I do not have specific data on Lloyds Banking Group's underlying profit for 2014. The annual report for that exact year would be needed to provide an accurate figure. Financial statements can vary by year due to changes in accounting standards, business performance, and other factors.",,,,,,,,59,0,4.33,0.0,,,,0.0,1.0,,46.0,285.0,0.0
ADVY005,adversarial_absent,lloyds,out_of_scope_year,What dividend per share did Lloyds Banking Group declare for 2018?,[NOT IN CORPUS],"I cannot find specific information on the 2018 dividend per share for Lloyds Banking Group plc in the context of its 2023 annual report. The data provided is not from the 2018 fiscal year but rather from the most recent annual report available, which is for 2023. To provide an accurate answer, I would need to refer to Lloyds Banking Group's 2018 annual report, which is not currently specified in the query.",,,,,,,,104,0,5.95,1.0,,,,1.0,0.0,,72.0,409.0,1.0
ADVY006,adversarial_absent,lloyds,out_of_scope_year,What was Lloyds Banking Group's total equity at 31 December 2026?,[NOT IN CORPUS],"I apologize, but based on the information available to me, I cannot provide Lloyds Banking Group's total equity at 31 December 2026. The data for this specific date is not included in the latest annual reports I have access to. The most recent complete year-end data I can confirm is for 2022. For more current figures, you would need to refer to Lloyds Banking Group's latest annual report or financial statements.",,,,,,,,96,0,5.83,0.0,,,,0.0,1.0,,71.0,415.0,0.0
ADVY007,adversarial_absent,natwest,out_of_scope_year,What was NatWest Group's operating profit before tax in 2016?,[NOT IN CORPUS],"I do not have specific financial data for each year going back to 2016 for NatWest Group plc from their annual reports. My knowledge cut-off is 2022 and I don't have access to specific historical financials beyond that date. Therefore, I cannot provide the exact operating profit before tax for NatWest Group in 2016.",,,,,,,,76,0,4.99,0.0,,,,0.0,1.0,,54.0,317.0,0.0
ADVY008,adversarial_absent,natwest,out_of_scope_year,How many full-time equivalent employees did NatWest Group report at the end of 2012?,[NOT IN CORPUS],"I do not have specific data on the number of full-time equivalent employees for NatWest Group plc at the end of 2012 from the 2023 annual reports. The information requested pertains to an earlier year than the most recent data I can provide, which is from the 2023 annual reports. To get the precise number, you would need to refer to NatWest Group's 2012 annual report or a reliable financial source that contains this historical data.",,,,,,,,103,0,5.95,0.0,,,,0.0,1.0,,76.0,436.0,0.0
ADVY009,adversarial_absent,natwest,out_of_scope_year,What was NatWest Group's CET1 ratio at 31 December 2026?,[NOT IN CORPUS],"I apologize, but there is an inconsistency in your question. You asked for NatWest Group's CET1 ratio at 31 December 2026, but the latest annual report data available for NatWest Group would be from 2023. As of now, there is no public financial data available for NatWest Group for the year 2026. Could you please provide the correct year or another question related to the available data?",,,,,,,,94,0,6.43,0.0,,,,0.0,1.0,,67.0,389.0,0.0
ADVB001,adversarial_absent,other,bank_absent,What was Barclays' profit before tax in 2023?,[NOT IN CORPUS],"I apologize, but the information requested pertains to Barclays PLC, not HSBC Holdings plc, Lloyds Banking Group plc, or NatWest Group plc. The question should be directed towards Barclays' annual report for 2023 to get the accurate figure for profit before tax.",,,,,,,,59,0,3.49,0.0,,,,0.0,1.0,,42.0,262.0,0.0
ADVB002,adversarial_absent,other,bank_absent,What was the CET1 ratio reported by Standard Chartered for 2023?,[NOT IN CORPUS],"The question provided does not contain information about Standard Chartered's CET1 ratio for 2023. The request was made about HSBC Holdings plc, Lloyds Banking Group plc, and NatWest Group plc, but no data was given regarding Standard Chartered. Therefore, I cannot provide the specific CET1 ratio for Standard Chartered based on the banks mentioned in the query.",,,,,,,,79,0,4.63,1.0,,,,1.0,0.0,,57.0,363.0,1.0
ADVB003,adversarial_absent,other,bank_absent,What was Santander UK's cost-efficiency ratio in 2023?,[NOT IN CORPUS],"I cannot provide the cost-efficiency ratio for Santander UK in 2023 as the information was not provided in the context of HSBC Holdings plc, Lloyds Banking Group plc, or NatWest Group plc. Additionally, Santander UK is not one of the banks mentioned in the question. The data requested pertains to a different entity and thus cannot be answered based on the given information.",,,,,,,,83,0,5.77,1.0,,,,1.0,0.0,,63.0,376.0,1.0
ADVB004,adversarial_absent,other,bank_absent,What was Metro Bank's impairment charge for 2023?,[NOT IN CORPUS],"Metro Bank is not one of the banks mentioned in the question (HSBC Holdings plc, Lloyds Banking Group plc, and NatWest Group plc). Therefore, I do not have information on Metro Bank's impairment charge for 2023. The question cannot be answered based on the provided context.",,,,,,,,63,0,3.72,1.0,,,,1.0,0.0,,46.0,274.0,1.0
ADVB005,adversarial_absent,other,bank_absent,What share buyback did Virgin Money announce in its 2023 annual report?,[NOT IN CORPUS],"I cannot provide an answer about Virgin Money's share buyback from its 2023 annual report because Virgin Money is not one of the banks (HSBC Holdings plc, Lloyds Banking Group plc, or NatWest Group plc) mentioned in the question. Virgin Money was acquired by NatWest Group in 2019, but specific details about any share buybacks would be found in NatWest Group's reports. Without access to NatWest Group's 2023 annual report, I cannot provide the exact figure for any share buyback announced.",,,,,,,,116,0,7.6,0.0,,,,0.0,1.0,,81.0,491.0,0.0
ADVB006,adversarial_absent,other,bank_absent,What was Nationwide Building Society's underlying profit for the year to April 2023?,[NOT IN CORPUS],"The information requested pertains to Nationwide Building Society, but it is important to note that Nationwide is not one of the banks (HSBC Holdings plc, Lloyds Banking Group plc, or NatWest Group plc) mentioned in the question. Therefore, I cannot provide the underlying profit for Nationwide Building Society for the year to April 2023 based on the given context.",,,,,,,,77,0,4.73,0.0,,,,0.0,1.0,,59.0,366.0,0.0
ADVB007,adversarial_absent,other,bank_absent,What statutory profit before tax did TSB report for 2023?,[NOT IN CORPUS],"The information provided does not include data on TSB's statutory profit before tax for 2023. TSB is not one of the banks (HSBC Holdings plc, Lloyds Banking Group plc, and NatWest Group plc) mentioned in the question, and therefore, I do not have specific figures for TSB from the given context.",,,,,,,,72,0,4.23,1.0,,,,1.0,0.0,,51.0,295.0,1.0
ADVB008,adversarial_absent,other,bank_absent,What was the Co-operative Bank's net interest margin in 2023?,[NOT IN CORPUS],"The Co-operative Bank is not one of the banks mentioned in the question (HSBC Holdings plc, Lloyds Banking Group plc, and NatWest Group plc). Therefore, I cannot provide the net interest margin for the Co-operative Bank in 2023 as it does not belong to any of the specified banks.",,,,,,,,66,0,4.54,0.0,,,,0.0,1.0,,49.0,280.0,0.0
ADVB009,adversarial_absent,other,bank_absent,How many employees did Barclays report at the end of 2023?,[NOT IN CORPUS],"I'm unable to provide the number of employees for Barclays as the question was about HSBC Holdings plc, Lloyds Banking Group plc, and NatWest Group plc. The information requested pertains to a different bank, Barclays PLC, which is not included in the provided context.",,,,,,,,57,0,3.75,1.0,,,,1.0,0.0,,44.0,269.0,1.0
