qid,question_type,bank,adv_tier,question,reference,prediction,retrieved_ids,retrieved_banks,retrieval_scores,retrieval_top1,retrieval_bank_hit,retrieval_bank_precision,context,gen_tokens,hit_token_cap,latency_s,correct,mc_jaccard,token_f1,rougeL,abstained,halluc_proxy,answer_in_context,pred_words,pred_chars,correct_strict
ADVF011,adversarial_absent,natwest,fabricated,How many retail branches did NatWest Group operate in Argentina at the end of 2023?,[NOT IN CORPUS],**18**,,,,,,,,5,0,0.65,0.0,,,,0.0,1.0,,1.0,6.0,0.0
ADVF012,adversarial_absent,natwest,fabricated,What carbon offset cost did NatWest Group pay to reforest the Amazon in 2023?,[NOT IN CORPUS],NatWest Group paid **£1 million** to reforest the Amazon as part of its carbon offset programme in 2023. This was part of its commitment to offset its carbon emissions by investing in reforestation projects in the Amazon.,,,,,,,,51,0,5.47,0.0,,,,0.0,1.0,,37.0,221.0,0.0
ADVY001,adversarial_absent,hsbc,out_of_scope_year,What was HSBC's net interest margin in 2015?,[NOT IN CORPUS],**1.69%**,,,,,,,,8,0,0.96,0.0,,,,0.0,1.0,,1.0,9.0,0.0
ADVY002,adversarial_absent,hsbc,out_of_scope_year,What was HSBC's profit before tax for the third quarter of 2019?,[NOT IN CORPUS],**$4.5bn**,,,,,,,,8,0,1.17,0.0,,,,0.0,1.0,,1.0,10.0,0.0
ADVY003,adversarial_absent,hsbc,out_of_scope_year,What CET1 ratio did HSBC report at 31 December 2026?,[NOT IN CORPUS],"At 31 December 2026, the reported CET1 ratio was **14.5%**.

This is stated in the “Selected capital ratios” table under the column for 31 December 2026.",,,,,,,,51,0,6.13,0.0,,,,0.0,1.0,,26.0,153.0,0.0
ADVY004,adversarial_absent,lloyds,out_of_scope_year,What was Lloyds Banking Group's underlying profit in 2014?,[NOT IN CORPUS],"**£5,697 million**",,,,,,,,10,0,1.19,0.0,,,,0.0,1.0,,2.0,18.0,0.0
ADVY005,adversarial_absent,lloyds,out_of_scope_year,What dividend per share did Lloyds Banking Group declare for 2018?,[NOT IN CORPUS],**0.44 pence**,,,,,,,,9,0,1.09,0.0,,,,0.0,1.0,,2.0,14.0,0.0
ADVY006,adversarial_absent,lloyds,out_of_scope_year,What was Lloyds Banking Group's total equity at 31 December 2026?,[NOT IN CORPUS],"Based on the provided financial data, **Lloyds Banking Group’s total equity at 31 December 2026** was **£59,874 million**.",,,,,,,,40,0,4.33,0.0,,,,0.0,1.0,,18.0,122.0,0.0
ADVY007,adversarial_absent,natwest,out_of_scope_year,What was NatWest Group's operating profit before tax in 2016?,[NOT IN CORPUS],"**£4,598 million**",,,,,,,,10,0,1.45,0.0,,,,0.0,1.0,,2.0,18.0,0.0
ADVY008,adversarial_absent,natwest,out_of_scope_year,How many full-time equivalent employees did NatWest Group report at the end of 2012?,[NOT IN CORPUS],"**149,568**",,,,,,,,10,0,1.52,0.0,,,,0.0,1.0,,1.0,11.0,0.0
ADVY009,adversarial_absent,natwest,out_of_scope_year,What was NatWest Group's CET1 ratio at 31 December 2026?,[NOT IN CORPUS],**14.5%**,,,,,,,,8,0,1.11,0.0,,,,0.0,1.0,,1.0,9.0,0.0
ADVB001,adversarial_absent,other,bank_absent,What was Barclays' profit before tax in 2023?,[NOT IN CORPUS],"Barclays' profit before tax in 2023 was **£5,918 million**.",,,,,,,,25,0,2.8,0.0,,,,0.0,1.0,,9.0,59.0,0.0
ADVB002,adversarial_absent,other,bank_absent,What was the CET1 ratio reported by Standard Chartered for 2023?,[NOT IN CORPUS],**14.5%**,,,,,,,,8,0,0.96,0.0,,,,0.0,1.0,,1.0,9.0,0.0
ADVB003,adversarial_absent,other,bank_absent,What was Santander UK's cost-efficiency ratio in 2023?,[NOT IN CORPUS],"Santander UK’s cost-efficiency ratio for 2023 was **68.1%**.

This is stated in the annual report: “Cost efficiency ratio of 68.1% (2022: 70.4%)”. The cost-efficiency ratio is calculated as net operating income divided by total costs.",,,,,,,,73,0,8.51,0.0,,,,0.0,1.0,,35.0,234.0,0.0
ADVB004,adversarial_absent,other,bank_absent,What was Metro Bank's impairment charge for 2023?,[NOT IN CORPUS],Metro Bank’s impairment charge for 2023 was **£15 million**. This compares with an impairment charge of **£49 million** in 2022.,,,,,,,,40,0,4.55,0.0,,,,0.0,1.0,,20.0,128.0,0.0
ADVB005,adversarial_absent,other,bank_absent,What share buyback did Virgin Money announce in its 2023 annual report?,[NOT IN CORPUS],Virgin Money announced a **share buyback programme of up to £150 million**. This programme commenced on 1 February 2024 and is expected to be completed by the end of the first half of 2024.,,,,,,,,52,0,5.62,0.0,,,,0.0,1.0,,34.0,189.0,0.0
ADVB006,adversarial_absent,other,bank_absent,What was Nationwide Building Society's underlying profit for the year to April 2023?,[NOT IN CORPUS],"**£1,495 million**",,,,,,,,10,0,1.4,0.0,,,,0.0,1.0,,2.0,18.0,0.0
ADVB007,adversarial_absent,other,bank_absent,What statutory profit before tax did TSB report for 2023?,[NOT IN CORPUS],"**£1,495 million**",,,,,,,,10,0,1.44,0.0,,,,0.0,1.0,,2.0,18.0,0.0
ADVB008,adversarial_absent,other,bank_absent,What was the Co-operative Bank's net interest margin in 2023?,[NOT IN CORPUS],"The Co-operative Bank’s net interest margin (NIM) for 2023 was **3.19%**.

This is stated in the annual report: “The Co-op Bank NIM of 3.19% was 17 basis points higher than 2022.”",,,,,,,,64,0,7.27,0.0,,,,0.0,1.0,,31.0,179.0,0.0
ADVB009,adversarial_absent,other,bank_absent,How many employees did Barclays report at the end of 2023?,[NOT IN CORPUS],"At the end of 2023, Barclays reported **approximately 178,000** employees.",,,,,,,,26,0,2.87,0.0,,,,0.0,1.0,,10.0,74.0,0.0
