qid,bank,question_type,max_jaccard,same_answer,nearest_train_question
E0040,hsbc,short_answer,0.5,False,"According to HSBC's 2023 Annual Report and Accounts, what was the increase in risk-weighted assets since 2022, in billions of dollars?"
E0041,natwest,true_false,0.571,False,"According to NatWest Group's 2023 Annual Report, what was the total capital at 31 December 2023"
E0042,hsbc,short_answer,0.385,False,"According to HSBC's 2023 Annual Report and Accounts, how many $0.50 ordinary shares were in issue at the end of 2023"
E0043,natwest,short_answer,0.357,False,"According to HSBC's 2023 Annual Report and Accounts, how many $0.50 ordinary shares were in issue at the end of 2023"
E0044,natwest,short_answer,0.714,True,"According to NatWest Group's 2023 Annual Report, what was the return on tangible equity (RoTE) achieved in 2023"
E0045,hsbc,short_answer,0.5,False,"According to HSBC's 2023 Annual Report and Accounts, what does the France retail disposal group include"
E0046,lloyds,single_choice,0.643,False,"According to Lloyds Banking Group's 2023 Annual Report, how much total income did the Group generate from sterling structural hedge balances in 2023?"
E0047,lloyds,short_answer,0.75,False,"According to Lloyds Banking Group's 2023 Annual Report, what are the Group's expectations for operating lease depreciation in 2024"
E0048,lloyds,open_ended,0.261,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the valuation date for the Group's main defined benefit pension schemes"
E0049,lloyds,short_answer,0.545,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the change in loans and advances to customers during 2023, and what was their final balance"
E0050,lloyds,single_choice,0.778,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's statutory profit before tax for 2023?"
E0051,natwest,open_ended,0.391,False,"Compare the changes in NatWest Group's risk-weighted assets by risk type between 2022 and 2023, and explain what these changes suggest about the bank's evolving"
E0052,natwest,true_false,0.364,False,"According to NatWest Group's 2023 Annual Report, what were customer deposits at 31 December 2023?"
E0053,natwest,single_choice,0.533,False,"According to NatWest Group's 2023 Annual Report, what was the full-time equivalent headcount at the end of 2023 and why did it change"
E0054,hsbc,short_answer,0.385,False,"According to HSBC's 2023 Annual Report and Accounts, what drove customer account growth in WPB"
E0055,lloyds,short_answer,0.5,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the size of the share buyback programme announced in February 2023"
E0056,natwest,short_answer,0.5,False,"According to NatWest Group's 2023 Annual Report, what were customer deposits at 31 December 2023?"
E0057,hsbc,short_answer,0.786,True,"According to HSBC's 2023 Annual Report and Accounts, how did the impairment loss relating to the sale of the retail banking operations in France change in 2023?"
E0058,hsbc,open_ended,0.286,False,"According to HSBC's 2023 Annual Report and Accounts, what was the UK bank levy in 2022 in $m?"
E0059,hsbc,multiple_choice,0.529,False,"According to HSBC's 2023 Annual Report and Accounts, what factors drove the decrease in net interest margin in the fourth quarter of 2023"
E0060,hsbc,short_answer,0.5,False,"According to NatWest Group's 2023 Annual Report, what was the cash flow hedges amount in 2021"
E0061,natwest,short_answer,0.8,False,"According to NatWest Group's 2023 Annual Report, what was the attributable profit for the period?"
E0062,lloyds,short_answer,0.667,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's statutory profit before tax for 2023?"
E0063,lloyds,true_false,0.579,False,"According to Lloyds Banking Group's 2023 Annual Report, by how much did the share buyback in respect of 2022 results affect earnings per share and tangible net "
E0064,natwest,true_false,0.231,False,"According to NatWest Group's 2023 Annual Report, what was the percentage increase in total income in 2023 compared with 2022"
E0065,natwest,single_choice,0.455,False,"According to NatWest Group's 2023 Annual Report, which Tier 2 notes were issued in February 2023?"
E0066,hsbc,multiple_choice,0.333,False,"According to HSBC's 2023 Annual Report and Accounts, which countries had mortgage balance growth in WPB"
E0067,lloyds,short_answer,0.545,True,"According to Lloyds Banking Group's 2023 Annual Report, what residual aggregate deficit did the Group pay to the Trustee in December 2023"
E0068,hsbc,open_ended,0.333,True,"According to HSBC's 2023 Annual Report and Accounts, how did the assets held for sale balance compare with 2022"
E0069,lloyds,short_answer,0.571,False,"According to NatWest Group's 2023 Annual Report, what was the UK leverage ratio at 31 December 2023 and 31 December 2022"
E0070,hsbc,open_ended,0.237,True,"According to HSBC's 2023 Annual Report and Accounts, what amount of the hold-to-collect cumulative unrealised loss related to debt instruments held to manage in"
E0071,lloyds,short_answer,0.5,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's CET1 capital ratio at 31 December 2023 and at 31 December 2022"
E0072,lloyds,single_choice,0.647,False,"According to Lloyds Banking Group's 2023 Annual Report, what caused the £2.4 billion reduction in loans and advances to customers in the fourth quarter"
E0073,natwest,open_ended,0.412,False,"According to NatWest Group's 2023 Annual Report, what accounted for the increase in operating profit before tax in 2023?"
E0074,natwest,short_answer,0.75,True,"According to NatWest Group's 2023 Annual Report, how much climate and sustainable funding and financing had been provided by 31 December 2023?"
E0075,hsbc,open_ended,0.4,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net interest income in 2023?"
E0076,hsbc,multiple_choice,0.333,False,"According to HSBC's 2023 Annual Report and Accounts, what drove customer account growth in WPB"
E0077,hsbc,true_false,0.545,False,"According to HSBC's 2023 Annual Report and Accounts, what was the percentage increase in customer accounts on a reported basis?"
E0078,lloyds,open_ended,0.316,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's CET1 capital ratio at 31 December 2023 and at 31 December 2022"
E0079,hsbc,open_ended,0.263,False,"According to HSBC's 2023 Annual Report and Accounts, what was the change in derivative liabilities and why was it consistent with the change in derivative asset"
E0080,lloyds,true_false,0.7,False,"According to Lloyds Banking Group's 2023 Annual Report: The Group's statutory profit after tax for 2023 was £5,518 million."
E0081,hsbc,short_answer,0.571,False,"According to HSBC's 2023 Annual Report and Accounts, what was the reported increase in customer accounts and what was the impact of foreign currency translation"
E0082,lloyds,short_answer,0.385,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the amount of subordinated liabilities in 2023 (£m)?"
E0083,natwest,multiple_choice,0.25,False,"According to NatWest Group's 2023 Annual Report, what amount relating to off-balance sheet exposures is included in the figures?"
E0084,natwest,open_ended,0.323,False,According to Lloyds Banking Group's 2023 Annual Report: Analyze the main changes in the balance sheet between 31 December 2022 and 31 December 2023. Which asset
E0085,lloyds,true_false,0.75,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the underlying impairment charge in 2023"
E0086,hsbc,short_answer,0.389,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net income from financial instruments held for trading or managed on a fair value basis in 202"
E0087,hsbc,single_choice,0.812,False,"According to HSBC's 2023 Annual Report and Accounts, what was the impact of foreign currency translation differences on interest income in 2023, and what was th"
E0088,hsbc,short_answer,0.25,False,What was the amount of impairment of interest in associate related to HSBC's investment in BoCom?
E0089,hsbc,short_answer,0.538,False,"According to HSBC's 2023 Annual Report and Accounts, in millions of dollars, what was the total interest income from total interest-earning assets in 2023?"
E0090,natwest,single_choice,0.571,False,"According to NatWest Group's 2023 Annual Report, what was Bank NIM in 2023"
E0091,hsbc,open_ended,0.259,False,"According to HSBC's 2023 Annual Report and Accounts, what comparative data were restated under IFRS 17 and for which date is the transition impact on the balanc"
E0092,natwest,short_answer,0.7,False,"According to NatWest Group's 2023 Annual Report, by how much did total assets decrease compared with 31 December 2022"
E0093,natwest,short_answer,0.8,True,"According to NatWest Group's 2023 Annual Report, what were customer deposits at 31 December 2023?"
E0094,lloyds,single_choice,0.263,False,"According to Lloyds Banking Group's 2023 Annual Report, which parties' income and expenses are included in the Group's statutory income statement"
E0095,lloyds,multiple_choice,0.353,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the valuation date for the Group's main defined benefit pension schemes"
E0096,natwest,multiple_choice,0.333,False,"According to NatWest Group's 2023 Annual Report, what"
E0097,natwest,open_ended,0.292,False,"How did NatWest Group's liquidity position evolve in 2023, and how should the liquidity coverage ratio movement be interpreted given the underlying drivers?"
E0098,natwest,single_choice,0.231,False,"According to NatWest Group's 2023 Annual Report, what drove the increase in other financial assets"
E0099,hsbc,single_choice,0.857,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net interest income in 2023?"
E0100,natwest,single_choice,0.25,False,"According to NatWest Group's 2023 Annual Report, what"
E0101,hsbc,short_answer,0.562,False,"According to HSBC's 2023 Annual Report and Accounts, which classification is used for the portfolio of financial investments measured at amortised cost?"
E0102,hsbc,short_answer,0.385,False,"According to HSBC's 2023 Annual Report and Accounts, which business segment increased customer lending by $21bn"
E0103,hsbc,open_ended,0.29,False,"According to HSBC's 2023 Annual Report and Accounts, what are the retained earnings and other reserves amounts corresponding to total shareholders' equity of 18"
E0104,natwest,short_answer,1.0,False,"According to NatWest Group's 2023 Annual Report, what were the total assets as at 31 December 2023"
E0105,natwest,open_ended,0.267,False,"According to NatWest Group's 2023 Annual Report, what was total equity at 31 December 2023?"
E0106,lloyds,open_ended,0.308,False,"According to Lloyds Banking Group's 2023 Annual Report, for a non-controlling interests amount of 235, what is the total equity"
E0107,lloyds,true_false,0.364,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's CET1 capital ratio at 31 December 2023 and at 31 December 2022"
E0108,lloyds,short_answer,0.75,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the impairment net charge in 2023 and what caused its decrease"
E0109,hsbc,short_answer,0.429,False,"According to HSBC's 2023 Annual Report and Accounts, what was the gain on acquisition of Silicon Valley Bank UK Limited?"
E0110,lloyds,short_answer,0.364,False,"According to Lloyds Banking Group's 2023 Annual Report, what is the Group's ordinary dividend policy"
E0111,lloyds,short_answer,0.4,True,"According to Lloyds Banking Group's 2023 Annual Report, why were the 2022 comparatives restated"
E0112,hsbc,open_ended,0.375,True,"According to HSBC's 2023 Annual Report and Accounts, why did financial investments increase"
E0113,hsbc,short_answer,0.611,False,"According to HSBC's 2023 Annual Report and Accounts, how did the impairment loss relating to the sale of the retail banking operations in France change in 2023?"
E0114,natwest,short_answer,0.3,False,"According to NatWest Group's 2023 Annual Report, what drove the Bank NIM increase in 2023?"
E0115,hsbc,open_ended,0.483,True,"According to HSBC's 2023 Annual Report and Accounts, how much did the yield on average interest-earning assets rise in 2023, and by how much did funding costs o"
E0116,lloyds,short_answer,1.0,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the tax on post-retirement defined benefit scheme remeasurements for the year ended 31 December"
E0117,lloyds,open_ended,0.333,True,"According to Lloyds Banking Group's 2023 Annual Report, which business areas drove the growth in underlying other income in 2023"
E0118,hsbc,single_choice,0.429,False,"According to HSBC's 2023 Annual Report and Accounts: Trading assets increased by $71bn, or 33%."
E0119,natwest,single_choice,0.5,False,"According to NatWest Group's 2023 Annual Report, which liability category had the largest percentage increase?"
E0120,natwest,short_answer,0.429,False,"According to NatWest Group's 2023 Annual Report, what was the UK leverage ratio at 31 December 2023 and 31 December 2022"
E0121,hsbc,single_choice,0.667,False,"According to HSBC's 2023 Annual Report and Accounts, how are profits recognised under IFRS 17 compared with under IFRS 4"
E0122,natwest,short_answer,0.75,True,"According to NatWest Group's 2023 Annual Report, what was the profit for the year ended 31 December 2023"
E0123,lloyds,open_ended,0.375,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the net income for 2023 and how did it change from 2022?"
E0124,natwest,single_choice,0.588,False,"According to NatWest Group's 2023 Annual Report, under the PRA framework, what are the minimum leverage ratios for CET1 and Total Tier 1?"
E0125,natwest,short_answer,0.312,False,"According to NatWest Group's 2023 Annual Report, which asset line items increased and partially offset the decrease in total assets?"
E0126,hsbc,single_choice,0.75,False,"According to HSBC's 2023 Annual Report and Accounts, what was the percentage increase in customer accounts on a reported basis?"
E0127,hsbc,open_ended,0.316,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net interest income in 2023?"
E0128,natwest,open_ended,0.348,False,"According to NatWest Group's 2023 Annual Report, what total comprehensive income was attributable to non-controlling interests in 2023?"
E0129,lloyds,multiple_choice,0.571,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the capital generation before regulatory headwinds during the year?"
E0130,natwest,short_answer,0.75,False,"According to NatWest Group's 2023 Annual Report, what was the percentage increase in settlement balances liabilities"
E0131,hsbc,multiple_choice,0.455,False,"According to HSBC's 2023 Annual Report and Accounts, what was the tax expense in 2023?"
E0132,lloyds,open_ended,0.321,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the amount of financial liabilities at fair value through profit or loss in 2022 (£m)?"
E0133,hsbc,short_answer,0.909,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net asset value per ordinary share at year-end in 2019"
E0134,hsbc,open_ended,0.364,True,"According to HSBC's 2023 Annual Report and Accounts, what was the impact of Argentine hyperinflation on net interest income in the fourth quarter of 2023 and th"
E0135,natwest,true_false,0.571,False,"According to NatWest Group's 2023 Annual Report, what was the CET1 capital at 31 December 2023"
E0136,natwest,single_choice,0.6,False,"According to NatWest Group's 2023 Annual Report, why did derivative assets and liabilities decrease?"
E0137,natwest,open_ended,0.364,False,"According to NatWest Group's 2023 Annual Report, what was the variance in profit attributable to paid-in equity holders between 2022 and 2023"
E0138,lloyds,short_answer,0.6,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the net interest income in the fourth quarter"
E0139,lloyds,short_answer,0.444,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's CET1 capital ratio at 31 December 2023 and at 31 December 2022"
E0140,natwest,multiple_choice,0.286,False,"According to NatWest Group's 2023 Annual Report, what amount relating to off-balance sheet exposures is included in the figures?"
E0141,hsbc,single_choice,0.667,False,"According to HSBC's 2023 Annual Report and Accounts, what was the impairment loss recognised in the fourth quarter of 2023"
E0142,hsbc,true_false,0.857,False,"According to HSBC's 2023 Annual Report and Accounts, what were total operating expenses excluding impairment of goodwill and other intangible assets in 2022"
E0143,lloyds,short_answer,1.0,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the profit for the year ended 31 December 2023?"
E0144,lloyds,short_answer,0.571,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the estimated further increase in risk-weighted assets from Retail secured CRD IV model updates"
E0145,natwest,short_answer,0.25,False,"According to NatWest Group's 2023 Annual Report, which asset line items increased and partially offset the decrease in total assets?"
E0146,lloyds,multiple_choice,0.357,False,"According to Lloyds Banking Group's 2023 Annual Report, why were the consolidated financial statements restated?"
E0147,natwest,short_answer,0.583,False,"According to NatWest Group's 2023 Annual Report, by how much did total assets decrease compared with 31 December 2022"
E0148,natwest,short_answer,0.231,False,"According to NatWest Group's 2023 Annual Report, what drove the increase in other financial assets"
E0149,lloyds,short_answer,0.333,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's CET1 capital ratio at 31 December 2023 and at 31 December 2022"
E0150,hsbc,single_choice,0.667,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net interest margin for the year ended 31 December 2023"
E0151,lloyds,short_answer,0.75,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the asset quality ratio for 2023?"
E0152,lloyds,multiple_choice,0.375,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the profit for the year ended 31 December 2023?"
E0153,natwest,short_answer,1.0,True,"According to NatWest Group's 2023 Annual Report, what was the UK leverage ratio at 31 December 2023 and 31 December 2022"
E0154,natwest,short_answer,1.0,False,"According to NatWest Group's 2023 Annual Report, what were customer deposits at 31 December 2023?"
E0155,natwest,multiple_choice,0.533,False,"According to NatWest Group's 2023 Annual Report, what was the percentage increase in total income excluding notable items from 2022 to 2023"
E0156,lloyds,short_answer,0.467,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the pre-updated MES impairment charge for 2022?"
E0157,natwest,single_choice,0.5,False,"According to NatWest Group's 2023 Annual Report: Analyze the main drivers of the decrease in total assets between 2022 and 2023, and evaluate whether this decre"
E0158,hsbc,short_answer,0.8,False,"According to HSBC's 2023 Annual Report and Accounts, what was the reported loans and advances to customers as a percentage of customer accounts at 31 December 2"
E0159,lloyds,multiple_choice,0.375,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the total other comprehensive income (loss) for 2023?"
E0160,hsbc,multiple_choice,0.385,False,"According to HSBC's 2023 Annual Report and Accounts, what was the total shareholders' equity in 2020"
E0161,hsbc,multiple_choice,0.276,False,"According to HSBC's 2023 Annual Report and Accounts, what amount of the hold-to-collect cumulative unrealised loss related to debt instruments held to manage in"
E0162,natwest,short_answer,0.467,True,"According to NatWest Group's 2023 Annual Report, what were the unrounded earnings per ordinary share figures for continuing and discontinued operations in 2023"
E0163,lloyds,short_answer,0.333,False,"According to Lloyds Banking Group's 2023 Annual Report, in which month and year was the FCA review into historical motor finance commission arrangements announc"
E0164,hsbc,open_ended,0.4,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net interest income in 2023?"
E0165,lloyds,open_ended,0.375,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the banking net interest margin in 2023 and 2022?"
E0166,hsbc,single_choice,0.362,False,"According to HSBC's 2023 Annual Report and Accounts, based on the consolidated statement of comprehensive income, which of the following are items that will not"
E0167,natwest,open_ended,0.259,False,"According to NatWest Group's 2023 Annual Report, how did the Financial Policy Committee change the UK CCyB rate effective from 5 July 2023"
E0168,lloyds,short_answer,0.875,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's statutory profit before tax for 2023?"
E0169,hsbc,short_answer,0.308,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net interest margin for the year ended 31 December 2023"
E0170,lloyds,open_ended,0.389,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's statutory profit before tax for 2023?"
E0171,natwest,short_answer,1.0,True,"According to NatWest Group's 2023 Annual Report, what was Bank NIM in 2023"
E0172,natwest,open_ended,0.286,False,"According to NatWest Group's 2023 Annual Report, what was the other comprehensive income after tax for the year ended 31 December 2021"
E0173,natwest,short_answer,0.429,False,"According to NatWest Group's 2023 Annual Report, what was the tax charge for 2023"
E0174,lloyds,short_answer,0.667,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the underlying other income in 2023 and what was its percentage change"
E0175,hsbc,short_answer,0.278,False,"According to HSBC's 2023 Annual Report and Accounts, how many $0.50 ordinary shares were in issue at the end of 2023"
E0176,lloyds,short_answer,0.75,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the effective portion of changes in fair value taken to other comprehensive income in the cash "
E0177,lloyds,short_answer,0.778,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the amount of underlying other income in 2023 and the percentage increase on 2022?"
E0178,lloyds,open_ended,0.3,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's statutory profit before tax for 2023?"
E0179,natwest,open_ended,0.407,False,"Compare the changes in NatWest Group's risk-weighted assets by risk type between 2022 and 2023, and explain what these changes suggest about the bank's evolving"
E0180,hsbc,short_answer,0.6,False,"According to HSBC's 2023 Annual Report and Accounts, what was the main reason for the increase in trading assets"
E0181,lloyds,short_answer,0.526,False,"According to Lloyds Banking Group's 2023 Annual Report, in which month and year was the FCA review into historical motor finance commission arrangements announc"
E0182,natwest,single_choice,0.412,False,"According to NatWest Group's 2023 Annual Report, how much climate and sustainable funding and financing had been provided by 31 December 2023?"
E0183,lloyds,short_answer,0.4,False,"According to Lloyds Banking Group's 2023 Annual Report, what were the Group's total risk-weighted assets at 31 December 2023 and 31 December 2022"
E0184,natwest,short_answer,0.462,False,"According to NatWest Group's 2023 Annual Report, what total comprehensive income was attributable to ordinary shareholders in 2023"
E0185,lloyds,short_answer,0.9,True,"According to Lloyds Banking Group's 2023 Annual Report: During 2023, what was the total value of the share buyback programme completed by the Group?"
E0186,lloyds,single_choice,0.467,False,According to Lloyds Banking Group's 2023 Annual Report: Profit before tax increased by 57% from 2022 to 2023 according to the summary income statement.
E0187,hsbc,short_answer,0.389,False,"According to HSBC's 2023 Annual Report and Accounts, what was the profit for the year attributable to ordinary shareholders of the parent company in 2019?"
E0188,hsbc,multiple_choice,0.333,False,"According to HSBC's 2023 Annual Report and Accounts, according to the five-year financial information, in which year did the company report the highest profit f"
E0189,lloyds,open_ended,0.265,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the estimated further increase in risk-weighted assets from Retail secured CRD IV model updates"
E0190,lloyds,short_answer,0.8,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the sterling structural hedge notional balance at 30 September 2023?"
E0191,hsbc,short_answer,0.7,True,"According to HSBC's 2023 Annual Report and Accounts, what were the reported value and change for loans and advances to customers"
E0192,natwest,single_choice,0.7,False,"According to NatWest Group's 2023 Annual Report, what primary factors contributed to the decrease in income from trading activities?"
E0193,hsbc,short_answer,0.714,False,"According to HSBC's 2023 Annual Report and Accounts, what were the total assets at 31 December 2023"
E0194,hsbc,short_answer,0.5,False,"According to HSBC's 2023 Annual Report and Accounts, what factors contributed to CMB customer account growth"
E0195,natwest,short_answer,0.538,True,"According to NatWest Group's 2023 Annual Report, what amount of foreign exchange recycling gains contributed to the increase in other operating income"
E0196,natwest,short_answer,0.625,False,"According to NatWest Group's 2023 Annual Report, what was the total of customer deposits at 31 December 2023?"
E0197,lloyds,single_choice,0.75,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's CET1 capital ratio at 31 December 2023 and at 31 December 2022"
E0198,natwest,multiple_choice,0.3,False,"According to NatWest Group's 2023 Annual Report, what was the CET1 capital at 31 December 2023"
E0199,hsbc,multiple_choice,0.417,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net interest income in 2023?"
E0200,natwest,open_ended,0.32,False,"According to NatWest Group's 2023 Annual Report, what factors accounted for the £498 million increase in intangible assets"
E0201,natwest,open_ended,0.3,False,"According to NatWest Group's 2023 Annual Report, compare the changes in loans and customer deposits between 2022 and 2023, and discuss what they imply for the b"
E0202,hsbc,true_false,0.818,False,"According to HSBC's 2023 Annual Report and Accounts, what was the loans and advances to customers as a percentage of customer accounts in 2020?"
E0203,natwest,short_answer,0.286,False,"According to NatWest Group's 2023 Annual Report, what"
E0204,natwest,short_answer,0.455,False,"According to NatWest Group's 2023 Annual Report, who signed the accounts on behalf of the Board of directors?"
E0205,natwest,short_answer,0.667,True,"According to NatWest Group's 2023 Annual Report, what was the impact of IFRS 9 transitional adjustments on CET1 capital, total capital, and RWAs at 31 December "
E0206,lloyds,short_answer,0.562,True,"According to Lloyds Banking Group's 2023 Annual Report, what charge was recognised in connection with the FCA section 166 review, and when was the review announ"
E0207,natwest,true_false,0.75,False,"According to NatWest Group's 2023 Annual Report, what was the total risk-weighted assets amount at 31 December 2023"
E0208,lloyds,true_false,0.5,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the profit for the year ended 31 December 2023?"
E0209,lloyds,multiple_choice,0.455,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the underlying impairment charge in 2023"
