qid,question_type,bank,adv_tier,question,reference,prediction,retrieved_ids,retrieved_banks,retrieval_scores,retrieval_top1,retrieval_bank_hit,retrieval_bank_precision,context,gen_tokens,hit_token_cap,latency_s,correct,mc_jaccard,token_f1,rougeL,abstained,halluc_proxy,answer_in_context,pred_words,pred_chars,correct_strict
P_E0218,short_answer,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, what level of average interest-earning banking assets is projected for 2024?",greater than £450 billion,**£450 billion**,,,,,,,,8,0,1.02,1.0,,0.6666666666666666,,0.0,0.0,,2.0,16.0,1.0
P_E0221,multiple_choice,natwest,,"Based on the table in NatWest Group's 2023 Annual Report, which of these groups received allocations from the total comprehensive income for the year that ended on 31 December 2023?","A,C,D","**A, B, C, D, E**",,,,,,,,12,0,1.82,0.0,0.6,,,0.0,1.0,,5.0,17.0,0.0
P_E0225,short_answer,natwest,,"Based on NatWest Group's 2023 Annual Report, what was the 2022 net stable funding ratio?",145%,94.5%,,,,,,,,6,0,0.91,0.0,,0.0,,0.0,1.0,,1.0,5.0,0.0
P_E0239,short_answer,lloyds,,"According to Lloyds Banking Group's 2023 Annual Report, which accounting standard was adopted that necessitated the restatement?",IFRS 17,**IFRS 17**,,,,,,,,8,0,1.32,1.0,,1.0,,0.0,0.0,,2.0,11.0,1.0
P_E0241,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, in which year was a profit of 14,693 recorded?",2021,**1997**,,,,,,,,7,0,0.94,0.0,,0.0,,0.0,1.0,,1.0,8.0,0.0
P_E0246,short_answer,lloyds,,"According to the 2023 Annual Report of Lloyds Banking Group, what was the figure for total liabilities in 2022, expressed in £m?",829483,**189574**,,,,,,,,9,0,1.18,0.0,,0.0,,0.0,1.0,,1.0,10.0,0.0
P_E0248,single_choice,lloyds,,"Based on the consolidated financial statements in Lloyds Banking Group's 2023 Annual Report, what was the total income for the fiscal year 2023?",A,**A**,,,,,,,,4,0,0.63,1.0,,,,0.0,0.0,,1.0,5.0,1.0
P_E0256,short_answer,natwest,,At what percentage is the countercyclical leverage ratio buffer set relative to NatWest Group's CCyB?,35%,**1%**,,,,,,,,5,0,0.67,0.0,,0.0,,0.0,1.0,,1.0,6.0,0.0
P_E0257,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, which asset class recorded the largest average balance during 2023?",Loans and advances to customers,"**$1,479bn**",,,,,,,,10,0,1.22,0.0,,0.0,,0.0,1.0,,1.0,12.0,0.0
P_E0262,single_choice,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, what was the tangible net asset value per ordinary share at the end of 2023, as shown in the five-year selected financial data?",B,**A**,,,,,,,,4,0,0.63,0.0,,,,0.0,1.0,,1.0,5.0,0.0
P_E0263,multiple_choice,lloyds,,"Based on the 2023 Annual Report of Lloyds Banking Group, which of the following options correctly reflects the details presented in that report?","A,B,D,E","**A, B, C, E**",,,,,,,,10,0,1.44,0.0,0.6,,,0.0,1.0,,4.0,14.0,0.0
P_E0264,short_answer,natwest,,"Based on NatWest Group's 2023 Annual Report, which capital element stayed constant at £3,875m for the entire year?",AT1,"**£3,875m**",,,,,,,,10,0,1.27,0.0,,0.0,,0.0,1.0,,1.0,11.0,0.0
P_E0274,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, which nation held the greatest number of customer accounts during that year?",Hong Kong,**Hong Kong**,,,,,,,,5,0,0.66,1.0,,1.0,,0.0,0.0,,2.0,13.0,1.0
P_E0276,short_answer,lloyds,,"According to the 2023 Annual Report of Lloyds Banking Group, what was the loan-to-deposit ratio as of 31 December 2023?",95%,**94%**,,,,,,,,6,0,0.81,0.0,,0.0,,0.0,1.0,,1.0,7.0,0.0
P_E0279,single_choice,lloyds,,"According to Lloyds Banking Group's 2023 Annual Report, what was the total assets figure reported for 1 January 2022?",A,**A**,,,,,,,,4,0,0.71,1.0,,,,0.0,0.0,,1.0,5.0,1.0
P_E0280,short_answer,natwest,,"According to NatWest Group's 2023 Annual Report: Effective from 5 July 2023, by what percentage was the UK countercyclical capital buffer raised?",2%,**1%**,,,,,,,,5,0,0.83,0.0,,0.0,,0.0,1.0,,1.0,6.0,0.0
P_E0284,single_choice,hsbc,,What was the impairment charge for HSBC's stake in BoCom as of 31 December 2023?,C,**A**,,,,,,,,4,0,0.7,0.0,,,,0.0,1.0,,1.0,5.0,0.0
P_E0286,multiple_choice,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, which of the following options accurately describes the Group's liquidity and funding status as of 31 December 2023?","A,B,D","**A, B, D**",,,,,,,,8,0,1.35,1.0,1.0,,,0.0,0.0,,3.0,11.0,1.0
P_E0291,short_answer,hsbc,,"According to HSBC's 2023 Annual Report and Accounts, how many full-time equivalent employees were there in total as of 31 December 2023?",220861,"**214,597**",,,,,,,,10,0,1.31,0.0,,0.0,,0.0,1.0,,1.0,11.0,0.0
